item_name,item_description,item_price(in AED)
Vegan Verdure,"Tomato sauce, vegan mozzarella, oven roast Mediterranean vegetables, fresh mushrooms, Kalamata olives, sliced onion",60.0
Ortolana,"Tomato sauce, baked aubergine, oven roast zucchini, olives, sliced onion, roast garlic, sun-dried tomato pesto, oregano",52.0
Zucca,"Roasted pumpkin, broccoli, sliced onions, sun dried tomato pesto, vegan pesto, chili flakes, fresh basil, walnuts and pumpkin sauce",52.0
Beyond Baja,"Tomato sauce, Beyond Meat mince, vegan mozzarella, sundried tomato sliced onion, sweetcorn, guacamole, chili flakes",68.0
Spaghetti Bolognese,Classic spaghetti pasta with our homemade rich tomato and beef bolognese sauce,52.0
Penne Alfredo,"Penne pasta with homemade creamy Alfredo sauce, made with oven roast chicken and fresh mushroom",52.0
Penne Arrabiata,"Penne pasta, with a freshly prepared, spicy tomato tomato sauce",52.0
Gnocchi Genovese,"Gnocchi pasta, with a creamy pesto sauce",48.0
Tagliatelle Calabrese,"Tagliatelle pasta with a creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",52.0
Gnocchi Truffle,"Gnocchi pasta, with a creamy truffle sauce",48.0
Lasagna Al Forno,"Home-made oven baked beef lasagna, with house made béchamel and topped with fior di latte mozzarella. Served with a fresh salad of mixed Italian greens",55.0
Lasagna Vegetariana,"Home-made oven baked lasagna, with spinach, fresh ricotta, and oven roast Mediterranean vegetables. Served with a fresh salad of mixed Italian greens",55.0
Garlic & Herb (30ml),Homemade creamy garlic and herb dip,4.0
Chipotle Mayo (30ml),"Spicy, tangy and delicious with almost anything!",4.0
BBQ Honey Mustard (30ml),"A classic combination of smoky BBQ sauce, American mustard and honey",4.0
Sundried Tomato Marinara (30ml),"Homemade with Italian sundried tomatoes, pine nuts, and classic marinara sauce",5.0
Buffalo Ranch (30ml),Creamy Buffalo Ranch Dip,4.0
Rocco's Basil Pesto (30ml),"Rocco's famous homemade pesto - made from scratch with fresh basil, parmesan, pine nuts and EVOO",5.0
Smoky BBQ (30ml),"Smoky & sweet, a delicious dipping sauce for all occasions!",3.0
Sweet Chili (30ml),A sweet & (mildly) spicy classic!,3.0
Marie Rose (30ml),"A classic blend of tomato, mayonnaise, Worcestershire sauce, lemon juice and black pepper. Perfect for dipping!",4.0
Roast Garlic EVOO (30ml),"Homemade with oven roast garlic, and premium EVOO",5.0
Rocco's Chili EVOO (30ml),Homemade chili infused EVOO,5.0
Truffle Infused EVOO,Italian truffle infused EVOO,5.0
Tiramisu,Homemade Tiramisu - our Chef's special!,25.0
Homemade Chocolate Fudge Brownie,"A light textured fudgey, chocolaty, super soft and crumbly brownie Contains Nuts",23.0
Toffee Hazelnut Sponge,Homemade toffee sponge with creme anglaise and toffee nut caramel sauce,28.0
Stuffed Choc Chip Cookie,"Soft, chewy, buttery, and stuffed with nutella - need we say more?!",19.0
Pizza Lulu,"Rocco's classic oven baked dough, generously topped with Nutella and crushed nuts!",29.0
Belgian Chocolate Mousse,"Thick, creamy and deliciously chocolatey. Made with authentic Belgian dark chocolate",23.0
Fresh Orange Juice,Freshly squeezed orange juice,19.0
Fresh Lemon & Mint,Freshly squeezed lemon with mint,19.0
Coca Cola,No description,9.0
Coca Cola (Zero),No description,9.0
Sprite,No description,9.0
Sprite Zero,No description,9.0
Fanta Orange,No description,9.0
Arwa (500ml),No description,3.0
Acqua Panna Small (250ml),No description,8.0
San Pellegrino Small (250ml),No description,9.0
